Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
Malaysia,MYS,2010,120.0321121,56.29999924,16168081,7.436888218,8.286579,42.99131,31.37361,71.90541,76.90315,96.37475,96.09972
Malaysia,MYS,2017,136.1163177,80.14048004,25625569,8.641152382,9.11,47.066387,40.54763,71.36837,77.62036,,
Malaysia,MYS,2018,134.526001,81.2010498,26308547,8.551119804,9.335915,49.854656,40.663494,69.18652,75.42821,,
Malaysia,MYS,2020,135.091156,89.55501556,29732254,10.3775568,8.889285,48.437527,37.04531,,,,
Mali,MLI,2017,119.0233231,18.89999962,3649846,0.083187349,2.74,2.5711634,6.012804,32.47233,26.13803,57.72537,64.71794
Mali,MLI,2018,115.084671,21.39999962,4265941,0.633900762,2.860348,3.2721012,6.9689627,32.95999,26.81248,55.75683,62.02415
Malta,MLT,2010,109.9760284,63.0,263818,30.38940048,9.726167,42.94957,32.03167,84.93877,82.61997,,
Malta,MLT,2017,138.0939484,81.01190948,388458,41.40313721,10.08,63.17398,46.03255,91.52666,94.47046,,
Malta,MLT,2018,140.2039337,81.65804291,401423,43.67304993,10.193724,68.76969,50.39826,,,,
Malta,MLT,2020,143.3887482,86.85876465,447639,48.33481598,10.193024,83.96673,59.72774,,,,
Mauritania,MRT,2017,95.133461,24.20000076,1006724,0.295079827,3.42,3.33115,6.62026,27.86818,28.5148,79.92064,75.78444
Mauritania,MRT,2018,103.7060471,35.09999847,1499022,0.300319314,4.025404,3.50048,6.46213,30.24987,31.72382,80.85963,78.32501
Mauritania,MRT,2020,106.0845947,40.79999924,1835431,0.39695394,4.2314367,4.4849,7.2271,,,,
Mauritius,MUS,2010,95.42812347,28.32999992,363572,7.526072502,9.054855,36.91036,30.53537,,,,
Mauritius,MUS,2017,145.472641,55.4032402,717330,19.4543457,9.46,47.45723,33.86001,81.50882,87.69854,,
Mauritius,MUS,2018,151.3591156,58.59616852,759047,21.67797089,9.447635,,,81.66395,87.0561,,
Mauritius,MUS,2020,150.4126587,64.88490295,842096,25.4134407,9.405725,52.60554,36.10531,,,,
Mexico,MEX,2010,80.09564209,31.04999924,34941309,9.275650978,8.503864,27.25701,27.87713,68.55751,71.64942,,
Mexico,MEX,2017,91.62670898,63.85224915,78435628,13.62465668,8.64,40.62317,39.8398,79.84907,82.50117,,
Mexico,MEX,2018,95.22511292,65.77263641,81567188,14.54854202,8.812746,42.309,40.74708,,,,
Mexico,MEX,2020,95.31976318,71.96819305,90678697,17.01362228,8.824254,46.59691,43.05109,,,,
Moldova,MDA,2010,62.42147446,32.29999924,1188054,6.626300335,7.9066463,,,77.95972,79.31622,87.4003,87.77125
Moldova,MDA,2017,92.28905487,76.12451935,2421152,14.39348507,8.21,61.89029,47.80839,77.9212,77.78425,85.95203,87.0249
Moldova,MDA,2018,89.7576828,0.0,0,15.37866783,8.250541,63.48577,48.27321,78.29615,77.59551,86.19406,86.42633
Moldova,MDA,2020,84.78964996,0.0,0,17.82368851,8.288821,67.46733,48.92443,,,,
Mongolia,MNG,2017,124.8052063,23.71426582,734201,9.155831337,9.45,70.93764,50.66216,,,,
Mongolia,MNG,2018,133.1783447,47.13000107,1491190,9.657071114,9.193137,69.762695,50.269413,,,,
Mongolia,MNG,2020,133.1157074,62.5000267,2058963,9.369702339,9.153257,81.80882,51.59861,,,,
Montenegro,MNE,2010,187.4174042,37.5,236643,10.3584156,8.023244,58.33446,46.45084,,,,
Montenegro,MNE,2017,166.4651947,71.27233124,450758,21.8983593,8.55,66.11125,50.90382,88.70322,90.02813,96.08448,95.37896
Montenegro,MNE,2018,180.6938171,71.51709747,451601,25.33079338,8.71593,64.91357,47.94991,88.45482,89.75502,,
Montenegro,MNE,2020,171.9706268,77.60879517,488204,29.32430649,8.9080925,64.36961,47.37429,,,,
Morocco,MAR,2010,98.8835144,52.0,16881730,1.559821129,5.7517395,13.82102,15.31543,53.49376,48.441,91.65842,92.88682
Morocco,MAR,2017,123.4247284,61.76221085,21942950,3.875262499,6.23,33.29096,34.25778,63.7417,63.17838,96.96158,96.83048
Morocco,MAR,2018,124.1715546,64.80386353,23282418,4.309292316,6.0500154,35.69778,36.16394,64.48602,64.49911,,
Morocco,MAR,2020,133.8939972,84.12036133,30862724,5.696022987,6.3176813,41.71071,39.5793,,,,
Mozambique,MOZ,2017,41.45170212,7.800000191,2228417,0.215159208,4.39,6.34179,7.92127,,,88.22894,91.51815
Mozambique,MOZ,2018,47.71577835,10.89999962,3207203,0.237801701,4.318279,6.53364,8.10823,,,92.4766,95.37994
Myanmar,MMR,2017,89.81716156,23.62108231,12351073,0.208995372,6.7,,,57.24047,62.02187,,
Myanmar,MMR,2018,113.8444901,28.70000076,15115147,0.240279347,6.673929,21.98387,15.63253,61.49661,66.63893,,
Namibia,NAM,2010,92.03340912,11.60000038,243516,0.445283681,5.4058714,,,,,92.83527,90.72134
Namibia,NAM,2017,111.5524521,36.83740616,871035,2.7377882,5.82,30.26425,15.31023,,,,
Namibia,NAM,2018,112.7023621,40.0,962273,2.531061411,6.134818,31.8548,16.15023,,,,
Namibia,NAM,2020,114.0587692,41.0,1020531,2.796759367,6.106065,35.55529,18.78235,,,,
Nepal,NPL,2017,130.629364,24.29999924,6848572,1.821053863,6.89,11.64118,11.53636,56.46276,58.58795,,
Nepal,NPL,2018,139.4463654,28.60000038,8152921,2.818796396,7.1095786,12.82445,11.96419,,,,
Nepal,NPL,2020,131.1502686,37.70000076,11064432,4.358747959,7.226661,14.794476,13.622741,,,,
Netherlands,NLD,2010,114.9619064,90.72000122,15075052,37.93701172,11.739408,67.26598,60.29188,87.28584,88.50049,,
Netherlands,NLD,2017,120.625,93.19728088,16036646,42.82610703,11.71,90.91987,79.30307,92.61802,93.74044,99.08544,98.23325
Netherlands,NLD,2018,123.7312088,91.89189148,15884471,43.4167099,11.760834,92.85855,81.59804,,,,
Netherlands,NLD,2020,124.9790497,91.33333588,15923567,43.91638184,11.539022,99.12558,85.22737,,,,
New Zealand,NZL,2017,136.1113129,87.69999695,4162464,33.66628265,11.25,97.17176,67.85505,96.04486,97.71525,,
New Zealand,NZL,2018,133.2242279,89.0,4306290,34.73728561,11.333543,99.13541,67.73515,,,,
New Zealand,NZL,2020,127.4928055,91.5,4630934,36.60096741,11.390235,97.29279,63.25586,,,,
Nicaragua,NIC,2018,115.0959091,37.59999847,2471160,2.975995302,6.747723,24.24915,18.58923,,,,
Niger,NER,2017,40.63850021,10.22431183,2222553,0.040041883,2.61,2.44505,4.96946,22.96816,17.06071,60.19768,69.89238
Niger,NER,2020,58.82269287,0.0,0,0.049573168,2.682462,2.82232,5.86553,,,,
Nigeria,NGA,2017,75.92481995,28.0,54178853,0.058066808,4.25,10.409905,13.266657,,,,
Nigeria,NGA,2018,88.18424225,31.89999962,63285649,0.037761386,5.0383425,10.13487,14.00782,,,,
North Macedonia,MKD,2010,103.9929657,51.90000153,1086697,12.49509239,7.052856,40.3952,34.69867,,,84.71133,86.00976
North Macedonia,MKD,2017,96.44629669,74.51682281,1573782,19.03437805,6.82,48.55228,36.69297,,,94.86301,94.91195
North Macedonia,MKD,2018,94.53430939,79.16775513,1673208,20.54598427,6.816772,49.24562,37.32403,,,,
North Macedonia,MKD,2020,89.38088226,81.40554047,1718534,22.82686615,7.296405,50.56366,35.90186,,,,
Norway,NOR,2010,114.6014252,93.38999939,4566535,35.27216721,11.301275,91.21774,56.46826,95.17598,95.43126,99.23571,98.93186
Norway,NOR,2017,107.9930725,96.35760498,5085172,40.88156509,11.24,98.72165,66.30628,95.59103,95.62558,,
Norway,NOR,2018,107.1737137,96.49166107,5125947,41.32402802,11.209513,99.69018,67.41017,,,,
Norway,NOR,2020,107.4584961,97.0,5218441,44.04270172,11.233873,101.77062,68.20296,,,,
Oman,OMN,2010,151.4460907,35.82780075,1032527,1.925276041,7.4834166,28.48786,19.77819,,,,
Oman,OMN,2017,148.8216248,80.18563843,3641914,7.478169441,8.9,54.81871,26.85347,95.76042,92.41487,,
Oman,OMN,2018,139.9674225,85.5,3933992,9.171272278,8.733114,55.55291,26.37033,99.30491,93.15358,,
Oman,OMN,2020,133.8469543,95.23000336,4326686,10.85332489,8.644991,57.38219,35.56854,,,,
Pakistan,PAK,2017,69.51482391,13.77999973,29817115,1.114926338,4.78,8.67735,9.97807,38.91654,31.62959,59.84739,69.59509
Pakistan,PAK,2018,72.55706024,15.34000015,33706811,0.987346232,5.0658207,8.32044,9.55403,40.36689,34.18399,61.56655,73.16876
Palestine,PSE,2017,84.17979431,63.29999924,0,7.580677986,7.5,54.22384,33.51358,83.33499,91.22223,95.16621,95.35516
Palestine,PSE,2018,89.97575378,64.3999939,0,7.486892223,7.88784,54.34769,34.5223,83.37074,91.23447,95.04651,94.64789
Palestine,PSE,2020,83.78302765,74.59999847,0,7.388363361,8.047291,53.81795,32.72084,,,,
Panama,PAN,2010,182.4572906,40.09999847,1453072,7.090699673,6.9109573,53.70443,35.0939,63.73858,68.58165,94.89117,96.32603
Panama,PAN,2017,128.5729675,59.95063019,2455620,10.74233818,7.19,,,61.71676,65.94409,85.90651,86.55897
Panama,PAN,2020,135.0171814,64.25,2759146,13.03460884,6.4808674,54.05562,34.98038,,,,
Paraguay,PRY,2010,94.76374817,19.79999924,1142186,1.432341814,6.9451528,40.88207,28.64209,58.41696,63.58177,87.98466,87.85244
Peru,PER,2010,100.3013535,34.77000046,10163124,3.212461948,7.7179785,,,76.0262,79.51214,,
Peru,PER,2017,123.759758,50.45041275,15945099,7.34701395,8.28,72.67321,68.7343,86.44261,84.72109,,
Peru,PER,2018,131.7778931,55.05433273,17729668,7.927901268,8.447705,,,90.92061,87.71031,,
Philippines,PHL,2017,114.071106,41.59999847,44403213,3.232097149,8.37,40.41902,30.77703,,,93.69001,93.85718
Philippines,PHL,2018,126.2046509,44.09999847,47878853,3.552217007,8.34696,33.687183,25.611961,,,,
Philippines,PHL,2020,136.5011292,49.79999924,55871109,7.242650032,7.492334,37.747875,29.237698,,,,
Poland,POL,2010,122.4951172,62.31999969,24053872,15.28445435,10.688769,90.67485,59.59029,88.63195,90.70257,94.52642,94.61694
Poland,POL,2017,132.9502716,75.98536682,29279302,20.11182785,11.34,81.88045,54.37163,93.93706,94.23769,95.61223,95.94851
Poland,POL,2018,127.3299484,77.54173279,29870211,20.70435715,11.517844,82.98145,54.81766,,,,
Poland,POL,2020,130.3966827,83.18489075,31966596,22.11351967,11.374183,84.3575,56.99364,,,,
Portugal,PRT,2010,115.2350922,53.29999924,5643618,20.07056808,11.013366,71.16144,60.23138,,,,
Portugal,PRT,2017,114.3419876,73.79121399,7606050,34.74392319,11.46,67.69994,60.13022,94.01344,95.3391,97.19088,97.92208
Portugal,PRT,2018,115.6330414,74.66096497,7682489,36.90145111,11.563686,70.01124,61.287,,,,
