Localidade,Código,Ano,Assinatura Celular,Usuários de Internet(%),Número de Usuários de Internet,Assinatura de Banda Larga,Anos_Escola_Ajustados_Aprendizagem,Razão bruta de matrícula combinada para educação terciária - Feminino,Razão bruta de matrícula combinada para educação terciária - Masculino,"Taxa líquida de matrícula combinada total, secundário, masculino","Taxa líquida de matrícula combinada total, secundário, feminino","Taxa líquida de matrícula combinada total, primário, feminino","Taxa líquida de matrícula combinada total, primário, masculino"
Tanzania,TZA,2020,85.74688721,22.0,13574994,1.901101351,4.4849176,7.12773,8.52907,,,,
Thailand,THA,2010,106.7434616,22.39999962,15292589,4.839422226,8.45008,56.551006,44.269787,73.11873,81.23548,,
Thailand,THA,2017,175.5964966,52.89192963,37499430,11.85959053,8.64,55.306755,39.457584,,,,
Thailand,THA,2018,180.1826172,56.81748199,40413030,13.23520756,8.855771,54.21275,38.001656,,,,
Thailand,THA,2020,166.6103668,77.84374237,55639332,16.44451141,8.68309,49.78047,35.793682,,,,
Togo,TGO,2017,78.84555817,12.36022472,970624,0.656623662,5.57,8.1666,17.7924,48.52573,33.45215,88.03994,93.7767
Togo,TGO,2018,77.88610077,15.5,1247235,0.331546336,5.709833,8.92373,18.07633,,,88.30915,93.13954
Togo,TGO,2020,78.71394348,24.0,2026220,0.636644006,5.9727387,11.05786,19.71367,,,,
Tonga,TON,2020,58.65935135,0.0,0,4.730592728,7.1402106,26.71898,10.75697,,,,
Trinidad and Tobago,TTO,2010,142.6227722,48.5,683994,12.26144409,8.134325,,,,,94.83918,95.71419
Tunisia,TUN,2010,104.5035324,36.79999924,4009383,4.534018993,6.803711,43.22497,27.84482,,,,
Tunisia,TUN,2017,125.3697586,55.5001564,6555368,7.012629509,6.27,41.66291,23.08941,,,,
Tunisia,TUN,2018,127.7071991,64.19081116,7659915,8.767776489,6.368259,41.23498,22.80329,,,,
Tunisia,TUN,2020,125.6733704,71.90000153,8744277,11.28777409,6.494052,43.04579,23.2106,,,,
Turkey,TUR,2010,85.40329742,39.81999969,29146389,9.813989639,9.119613,50.53242,62.11157,83.72172,78.07046,95.38382,96.76154
Turkey,TUR,2017,95.91170502,64.68461609,53099488,14.7009697,8.9,102.44184,116.43595,88.3655,86.04436,87.18836,88.58257
Turkey,TUR,2018,97.30133057,71.04276276,58830017,16.28274345,8.864876,107.05119,119.17521,,,,
Turkey,TUR,2020,97.37848663,77.66999817,65347988,19.84235001,9.227495,115.36449,118.79391,,,,
Tuvalu,TUV,2018,73.86166382,0.0,0,0.0,5.8087997,,,62.48507,71.19497,,
Uganda,UGA,2010,39.55901718,4.300000191,1390694,0.043172345,3.9197464,3.4863,4.67175,,,92.45064,90.55265
Ukraine,UKR,2010,117.7678223,23.29999924,10644144,6.454904079,10.271507,89.5358,71.25946,85.74998,86.24491,90.68996,90.14763
United Arab Emirates,ARE,2017,208.9786072,94.8199234,8598552,29.11110878,9.49,,,95.1514,90.32952,,
United Arab Emirates,ARE,2020,185.7794189,100.0,9287286,32.81082916,9.645997,66.34543,46.35613,,,,
United Kingdom,GBR,2010,120.9109039,85.0,53346041,30.17895699,11.32212,67.52451,50.53971,95.56562,96.79978,97.98666,98.03254
United Kingdom,GBR,2017,118.5403976,90.42455292,59738807,39.02955627,11.48,69.37931,50.97231,97.03468,97.23472,99.34894,99.62836
United Kingdom,GBR,2018,117.4992905,90.69200897,60249419,39.59851456,11.457277,71.14698,51.98603,,,,
United Kingdom,GBR,2020,116.3818588,94.81819916,63584584,40.25909805,11.538006,80.20752,59.14948,,,,
United States,USA,2010,92.26776886,71.69000244,223086991,27.35238266,10.35244,,,87.62882,89.18024,93.51886,93.23588
United States,USA,2017,123.044838,87.27488708,287824925,33.28362656,11.14,102.01133,74.99719,91.88962,93.03496,94.57828,94.6724
United States,USA,2018,106.4646835,88.49890137,293940279,33.86036682,10.779745,102.35404,74.89505,,,,
United States,USA,2020,106.1855545,90.90000153,305371298,36.60876846,10.55677,102.95674,72.84025,,,,
Uruguay,URY,2010,132.0867767,46.40000153,1555631,11.41761208,8.48609,65.05852,40.08322,,,,
Uruguay,URY,2017,148.3299866,70.32235718,2406575,27.73874283,8.38,,,85.42257,91.12043,,
Uruguay,URY,2018,129.278183,80.72684479,2766544,28.33601761,8.650635,100.96828,60.96323,,,,
Uzbekistan,UZB,2020,99.75439453,71.09999847,23837456,14.40132618,9.133364,14.91682,16.88326,,,,
Vietnam,VNM,2010,126.8309402,30.64999962,26791476,4.171216488,10.082015,23.01379,22.63682,,,,
Zambia,ZMB,2017,79.73690796,12.19999981,2110363,0.21308209,5.25,,,,,84.92941,81.42986
Zimbabwe,ZWE,2010,60.64079285,6.400000095,821746,0.259889126,6.8357744,5.71466,7.79578,,,,
Zimbabwe,ZWE,2017,98.9850769,24.39999962,3599269,1.315693855,6.35,9.68927,8.00596,,,,
